family,x,y,count
P2,-0.06,0.63,449
P2,-0.07,0.63,638
P2,-0.08,0.63,531
P2,0.02,0.62,512
P2,0.02,0.63,896
P2,0.01,0.63,2296
P2,0.01,0.62,558
P2,0.01,0.94,161
P2,0.01,0.95,186
P2,0.02,0.94,115
P2,0.08,0.80,274
P2,0.10,0.79,226
P2,0.09,0.79,215
P2,0.09,0.78,261
P2,0.07,0.77,480
P2,0.03,0.74,5817
P2,0.03,0.26,2203
P2,-0.14,0.30,175
P2,-0.14,0.31,348
P2,-0.15,0.31,196
P2,-0.16,0.31,93
P2,-0.16,0.30,74
P2,-0.13,1.18,161
P2,-0.13,1.19,66
P2,-0.01,0.69,14335
P2,-0.01,0.70,14488
P2,-0.24,0.50,912
P2,-0.22,0.57,570
P2,-0.21,0.56,372
P2,-0.03,0.47,705
P2,-0.03,0.22,2313
P2,0.15,0.44,37406
P2,0.12,0.23,496
P2,0.13,0.23,228
P2,0.14,0.23,39
P2,-0.11,0.41,717
P2,-0.11,0.42,431
P2,-0.12,0.41,503
P2,-0.04,0.20,1380
P2,-0.04,0.21,2720
P2,-0.05,0.21,2734
P2,0.11,0.55,340
P2,0.12,0.55,319
P2,0.13,0.55,242
P2,-0.01,0.25,2835
P2,0.00,0.74,264
P2,0.00,0.75,280
P2,-0.01,0.75,397
P2,-0.02,0.75,598
P2,-0.02,0.74,526
P2,0.04,0.89,912
P2,-0.02,0.25,2430
P2,0.02,0.38,843
P2,0.02,0.39,1048
P2,0.01,0.39,1238
P2,0.01,0.38,854
P2,-0.23,1.10,148
P2,-0.22,1.10,163
P2,-0.21,1.10,110
P2,-0.16,1.31,57
P2,-0.15,1.31,30
P2,-0.15,1.32,89
P2,-0.14,1.31,104
P2,0.04,0.61,2136
P2,0.04,0.62,15133
P2,0.05,0.62,2338
P2,0.05,0.61,882
P2,-0.13,0.47,334
P2,-0.24,0.30,264
P2,0.01,0.61,405
P2,0.00,0.61,537
P2,0.00,0.62,847
P2,-0.01,0.62,693
P2,-0.01,0.61,496
P2,-0.03,0.50,720
P2,-0.03,0.51,650
P2,-0.04,0.51,707
P2,-0.04,0.50,871
P2,-0.22,0.66,552
P2,-0.11,0.25,981
P2,-0.12,0.25,723
P2,-0.13,0.25,451
P2,-0.24,0.42,444
P2,-0.23,0.42,449
P2,-0.15,0.37,240
P2,-0.15,0.36,166
P2,0.04,0.23,2486
P2,0.04,0.24,2282
P2,0.05,0.24,2285
P2,0.05,0.23,2316
P2,0.17,0.42,568
P2,0.17,0.43,772
P2,0.07,0.21,2902
P2,0.06,0.21,2805
P2,0.05,0.21,2579
P2,0.12,0.56,149
P2,0.12,0.57,769
P2,0.13,0.57,2604
P2,0.14,0.57,5584
P2,0.14,0.56,1058
P2,-0.24,0.59,558
P2,-0.22,0.59,674
P2,-0.22,0.58,530
P2,0.00,0.25,2167
P2,-0.23,0.49,777
P2,-0.22,0.49,478
P2,-0.21,0.49,236
P2,-0.02,0.38,1345
P2,-0.10,1.06,65
P2,-0.11,1.06,89
P2,-0.12,1.06,53
P2,-0.12,1.05,19
P2,-0.13,0.51,139
P2,-0.13,0.52,423
P2,-0.14,0.52,246
P2,-0.14,0.51,136
P2,-0.09,0.67,399
P2,-0.10,0.67,281
P2,-0.10,0.66,340
P2,-0.02,0.34,1307
P2,-0.03,0.34,1400
P2,-0.04,0.34,1212
P2,-0.04,0.33,1734
P2,0.02,0.36,1083
P2,0.00,0.32,1480
P2,-0.01,0.31,1579
P2,-0.02,0.31,1601
P2,-0.20,0.67,287
P2,-0.19,0.67,237
P2,-0.16,1.20,63
P2,-0.15,1.20,110
P2,-0.14,1.20,100
P2,-0.11,1.07,78
P2,-0.11,1.08,145
P2,-0.12,1.08,170
P2,-0.12,1.07,136
P2,0.03,1.08,96
P2,0.03,1.09,137
P2,0.09,0.85,1206
P2,0.10,0.85,270
P2,0.15,0.80,76
P2,0.15,0.79,287
P2,0.14,0.79,409
P2,0.14,0.78,2191
P2,0.13,0.79,287
P2,0.06,0.34,987
P2,0.05,0.95,245
P2,0.04,0.95,239
P2,0.04,0.96,341
P2,0.03,0.96,217
P2,0.03,0.95,221
P2,0.03,0.51,685
P2,0.02,0.52,790
P2,0.01,0.52,820
P2,0.05,0.91,453
P2,0.04,0.91,494
P2,0.03,0.91,301
P2,0.05,0.81,334
P2,0.04,0.81,575
P2,0.04,0.82,305
P2,0.03,0.81,399
P2,0.06,0.26,1531
P2,0.07,0.26,1342
P2,0.00,0.22,2294
P2,0.00,0.23,2595
P2,-0.24,0.51,700
P2,-0.20,0.56,209
P2,-0.12,0.29,426
P2,-0.13,0.29,349
P2,-0.14,0.29,298
P2,0.22,0.31,284
P2,0.21,0.31,277
P2,-0.01,0.42,1126
P2,-0.16,0.86,141
P2,-0.17,0.86,143
P2,-0.18,0.86,196
P2,-0.02,0.36,1358
P2,-0.02,0.37,1339
P2,-0.06,0.27,1853
P2,0.14,0.70,9431
P2,0.14,0.69,380
P2,0.14,0.68,51
P2,0.14,0.67,68
P2,0.15,0.67,43
P2,-0.16,0.47,71
P2,-0.16,0.48,142
P2,-0.17,0.48,130
P2,-0.17,0.47,80
P2,-0.18,0.47,92
P2,-0.02,0.98,212
P2,-0.03,0.98,129
P2,-0.03,0.99,63
P2,-0.04,0.98,71
P2,-0.02,0.40,916
P2,-0.03,0.40,1012
P2,-0.08,0.25,1602
P2,-0.09,0.26,1002
P2,-0.09,0.25,1232
P2,-0.23,0.45,671
P2,-0.22,0.45,340
P2,-0.21,0.45,96
P2,-0.21,0.44,54
P2,-0.04,0.24,2470
P2,-0.03,0.24,2594
P2,0.04,0.30,1474
